layer	MEM_GB	GB_WB	MEM_WB	MEM_FB	FB_PU	RUN_PU	total_cycle	d_GB	d_FB	d_WB	d_PU	d_NET	d_CTRL	total_dyn	s_GB	s_FB	d_WB	d_PU	d_NET	d_CTRL	total_static	total_energy
2	7269	1156	0	651010	452928	4630720	5743084	0.001233	0.011356	1.093879	4.376103	0.927442	0.162115	6.572128	0.241330	0.011548	0.025984	0.046395	0.004055	0.002426	0.331738	6.903866
3	14724	2308	0	164093	113088	2238593	2532807	0.002466	0.002841	0.546458	2.343312	0.463513	0.088647	3.447237	0.106431	0.005093	0.011459	0.020461	0.001788	0.001070	0.146302	3.593539
4	29360	4612	0	327458	189504	3111480	3662415	0.004931	0.005709	0.766723	2.690551	0.650867	0.066306	4.185087	0.153898	0.007364	0.016570	0.028813	0.002586	0.000774	0.210005	4.395092
5	58713	41508	0	83818	94464	1866529	2145033	0.018707	0.002494	0.462662	1.506412	0.391998	0.037157	2.419430	0.090136	0.004313	0.009705	0.016875	0.001514	0.000453	0.122996	2.542426
6	117395	392020	0	166466	344064	2006880	3026826	0.122063	0.009352	0.501719	1.752402	0.415939	0.023173	2.824648	0.127190	0.006086	0.013694	0.023493	0.002137	0.000320	0.172920	2.997568
7	117395	392020	0	166783	344064	1323046	2343309	0.122063	0.009352	0.334244	1.150209	0.272179	0.014956	1.903003	0.098468	0.004712	0.010602	0.018188	0.001654	0.000247	0.133871	2.036874
8	234176	133748	0	43480	170880	712754	1295039	0.065982	0.004467	0.177720	0.631957	0.146651	0.008264	1.035041	0.054419	0.002604	0.005859	0.010052	0.000914	0.000137	0.073985	1.109026
9	468551	973132	0	86578	661248	1264307	3453817	0.325269	0.017922	0.337586	1.192552	0.260588	0.007924	2.141841	0.145133	0.006945	0.015626	0.026625	0.002438	0.000182	0.196949	2.338790
10	468551	973132	0	86575	661248	1211794	3401301	0.325269	0.017922	0.327728	1.146131	0.251318	0.007567	2.075935	0.142926	0.006839	0.015389	0.026220	0.002401	0.000180	0.193955	2.269890
11	468551	142972	0	22914	163008	280549	1077995	0.097852	0.004422	0.073463	0.264253	0.058012	0.001739	0.499741	0.045298	0.002168	0.004877	0.008310	0.000761	0.000057	0.061471	0.561212
12	468551	142972	0	22897	163008	363632	1161061	0.097852	0.004422	0.094499	0.346835	0.075892	0.002305	0.621805	0.048789	0.002335	0.005253	0.008950	0.000820	0.000061	0.066208	0.688013
13	468551	142972	0	23095	163008	459828	1257455	0.097852	0.004422	0.118854	0.442451	0.096593	0.002960	0.763132	0.052840	0.002529	0.005689	0.009693	0.000888	0.000066	0.071705	0.834837
