layer	MEM_GB	GB_WB	MEM_WB	MEM_FB	FB_PU	RUN_PU	total_cycle	d_GB	d_FB	d_WB	d_PU	d_NET	d_CTRL	total_dyn	s_GB	s_FB	d_WB	d_PU	d_NET	d_CTRL	total_static	total_energy
2	7269	1156	0	654426	452928	802816	1918596	0.001233	0.011356	0.177889	0.779259	0.134973	0.021862	1.126572	0.080621	0.003858	0.008680	0.015499	0.001355	0.000810	0.110823	1.237395
3	14724	2308	0	163929	113088	301056	595106	0.002466	0.002841	0.069937	0.337595	0.055339	0.010931	0.479109	0.025007	0.001197	0.002692	0.004808	0.000420	0.000251	0.034375	0.513484
4	29360	4612	0	328130	189504	501760	1053367	0.004931	0.005709	0.120818	0.483825	0.098531	0.010931	0.724745	0.044264	0.002118	0.004766	0.008287	0.000744	0.000222	0.060401	0.785146
5	58713	41508	0	83500	94464	250880	529066	0.018707	0.002494	0.061511	0.241905	0.049265	0.005466	0.379348	0.022232	0.001064	0.002394	0.004162	0.000374	0.000112	0.030338	0.409686
6	117395	392020	0	167029	344064	501760	1522269	0.122063	0.009352	0.131707	0.449019	0.098531	0.005466	0.816138	0.063967	0.003061	0.006887	0.011815	0.001075	0.000161	0.086966	0.903104
7	117395	392020	0	167029	344064	501760	1522269	0.122063	0.009352	0.131707	0.449019	0.098531	0.005466	0.816138	0.063967	0.003061	0.006887	0.011815	0.001075	0.000161	0.086966	0.903104
8	234176	133748	0	43306	170880	250880	832991	0.065982	0.004467	0.064104	0.224494	0.049265	0.002733	0.411045	0.035003	0.001675	0.003769	0.006465	0.000588	0.000088	0.047588	0.458633
9	468551	973132	0	86771	661248	501760	2691463	0.325269	0.017922	0.148041	0.440381	0.098531	0.002733	1.032877	0.113098	0.005412	0.012177	0.020748	0.001900	0.000142	0.153477	1.186354
10	468551	973132	0	86771	661248	501760	2691463	0.325269	0.017922	0.148041	0.440381	0.098531	0.002733	1.032877	0.113098	0.005412	0.012177	0.020748	0.001900	0.000142	0.153477	1.186354
11	468551	142972	0	23055	163008	125440	923027	0.097852	0.004422	0.034191	0.110080	0.024633	0.000683	0.271861	0.038787	0.001856	0.004176	0.007115	0.000652	0.000049	0.052635	0.324496
12	468551	142972	0	23055	163008	125440	923027	0.097852	0.004422	0.034191	0.110080	0.024633	0.000683	0.271861	0.038787	0.001856	0.004176	0.007115	0.000652	0.000049	0.052635	0.324496
13	468551	142972	0	23055	163008	125440	923027	0.097852	0.004422	0.034191	0.110080	0.024633	0.000683	0.271861	0.038787	0.001856	0.004176	0.007115	0.000652	0.000049	0.052635	0.324496
