layer	MEM_GB	GB_WB	MEM_WB	MEM_FB	FB_PU	RUN_PU	total_cycle	d_GB	d_FB	d_WB	d_PU	d_NET	d_CTRL	total_dyn	s_GB	s_FB	d_WB	d_PU	d_NET	d_CTRL	total_static	total_energy
1	3701	580.000000	0.000000	325472.000000	301248.000000	3612672.000000	4243674.000000	0.000616	0.005664	0.813075	8.783194	0.691064	0.349797	10.643410	0.178323	0.008533	0.019200	0.036075	0.002996	0.003585	0.248712	10.892122
2	7269	1156.000000	0.000000	652546.000000	452928.000000	6823936.000000	7937836.000000	0.001233	0.011356	1.626151	9.154905	1.382128	0.349797	12.525570	0.333556	0.015962	0.035913	0.064125	0.005604	0.003353	0.458513	12.984083
3	14724	2308.000000	0.000000	164860.000000	113088.000000	3311616.000000	3606597.000000	0.002466	0.002841	0.813124	4.573328	0.691064	0.174898	6.257721	0.151553	0.007252	0.016317	0.029136	0.002546	0.001523	0.208327	6.466048
4	29360	4612.000000	0.000000	329745.000000	189504.000000	6522880.000000	7076102.000000	0.004931	0.005709	1.626248	7.043792	1.382128	0.174898	10.237706	0.297345	0.014229	0.032015	0.055669	0.004996	0.001494	0.405748	10.643454
5	58713	41508.000000	0.000000	83779.000000	94464.000000	3261440.000000	3539905.000000	0.018707	0.002494	0.814226	3.521888	0.691064	0.087449	5.135828	0.148750	0.007118	0.016016	0.027849	0.002499	0.000748	0.202980	5.338808
6	117395	392020.000000	0.000000	167216.000000	344064.000000	6522880.000000	7543576.000000	0.122063	0.009352	1.637137	6.519133	1.382128	0.087449	9.757262	0.316989	0.015169	0.034130	0.058550	0.005326	0.000797	0.430961	10.188223
7	117395	392020.000000	0.000000	167216.000000	344064.000000	6522880.000000	7543576.000000	0.122063	0.009352	1.637137	6.519133	1.382128	0.087449	9.757262	0.316989	0.015169	0.034130	0.058550	0.005326	0.000797	0.430961	10.188223
8	234176	133748.000000	0.000000	43142.000000	170880.000000	3261440.000000	3843387.000000	0.065982	0.004467	0.816819	3.259551	0.691064	0.043725	4.881608	0.161503	0.007728	0.017389	0.029831	0.002713	0.000406	0.219570	5.101178
9	468551	973132.000000	0.000000	86349.000000	661248.000000	6522880.000000	8712161.000000	0.325269	0.017922	1.653471	6.388033	1.382128	0.043725	9.810548	0.366094	0.017519	0.039417	0.067160	0.006151	0.000460	0.496801	10.307349
10	468551	973132.000000	0.000000	86349.000000	661248.000000	6522880.000000	8712161.000000	0.325269	0.017922	1.653471	6.388033	1.382128	0.043725	9.810548	0.366094	0.017519	0.039417	0.067160	0.006151	0.000460	0.496801	10.307349
11	468551	142972.000000	0.000000	22964.000000	163008.000000	1630720.000000	2428216.000000	0.097852	0.004422	0.410548	1.596993	0.345532	0.010931	2.466278	0.102036	0.004883	0.010986	0.018719	0.001714	0.000128	0.138466	2.604744
12	468551	142972.000000	0.000000	22964.000000	163008.000000	1630720.000000	2428216.000000	0.097852	0.004422	0.410548	1.596993	0.345532	0.010931	2.466278	0.102036	0.004883	0.010986	0.018719	0.001714	0.000128	0.138466	2.604744
13	468551	142972.000000	0.000000	22964.000000	163008.000000	1630720.000000	2428216.000000	0.097852	0.004422	0.410548	1.596993	0.345532	0.010931	2.466278	0.102036	0.004883	0.010986	0.018719	0.001714	0.000128	0.138466	2.604744
