layer	MEM_GB	GB_WB	MEM_WB	MEM_FB	FB_PU	RUN_PU	total_cycle	d_GB	d_FB	d_WB	d_PU	d_NET	d_CTRL	total_dyn	s_GB	s_FB	d_WB	d_PU	d_NET	d_CTRL	total_static	total_energy
2	7269	1156	0	651516	452928	5593943	6706813	0.001233	0.011356	1.319180	6.175565	1.120334	0.234087	8.861755	0.281827	0.013486	0.030344	0.054180	0.004735	0.002833	0.387405	9.249160
3	14724	2308	0	163475	113088	2594434	2888030	0.002466	0.002841	0.634238	3.103278	0.538487	0.117989	4.399299	0.121358	0.005807	0.013066	0.023331	0.002039	0.001220	0.166821	4.566120
4	29360	4612	0	328031	189504	4360637	4912145	0.004931	0.005709	1.082533	4.254816	0.919281	0.105241	6.372511	0.206413	0.009877	0.022224	0.038645	0.003468	0.001037	0.281664	6.654175
5	58713	41508	0	83497	94464	2397162	2675345	0.018707	0.002494	0.597284	2.435340	0.506326	0.060291	3.620442	0.112421	0.005380	0.012104	0.021047	0.001889	0.000565	0.153406	3.773848
6	117395	392020	0	165784	344064	4345982	5365246	0.122063	0.009352	1.090905	4.177756	0.916940	0.055845	6.372861	0.225453	0.010789	0.024274	0.041643	0.003788	0.000567	0.306514	6.679375
7	117395	392020	0	166964	344064	3921167	4941611	0.122063	0.009352	0.986853	3.774734	0.827785	0.050332	5.771119	0.207651	0.009937	0.022358	0.038355	0.003489	0.000522	0.282312	6.053431
8	234176	133748	0	43196	170880	2031038	2613039	0.065982	0.004467	0.509004	1.949500	0.428738	0.026016	2.983707	0.109803	0.005254	0.011822	0.020281	0.001845	0.000276	0.149281	3.132988
9	468551	973132	0	86702	661248	3678442	5868076	0.325269	0.017922	0.941907	3.578648	0.775690	0.024360	5.663796	0.246582	0.011800	0.026549	0.045236	0.004143	0.000310	0.334620	5.998416
10	468551	973132	0	86546	661248	3216203	5405681	0.325269	0.017922	0.827168	3.123654	0.677674	0.021213	4.992900	0.227152	0.010870	0.024457	0.041671	0.003816	0.000285	0.308251	5.301151
11	468551	142972	0	22973	163008	949118	1746623	0.097852	0.004422	0.240169	0.924084	0.200304	0.006291	1.473122	0.073395	0.003512	0.007902	0.013464	0.001233	0.000092	0.099598	1.572720
12	468551	142972	0	23094	163008	941815	1739441	0.097852	0.004422	0.237846	0.915874	0.198425	0.006241	1.460660	0.073093	0.003498	0.007870	0.013409	0.001228	0.000092	0.099190	1.559850
13	468551	142972	0	22855	163008	744708	1542095	0.097852	0.004422	0.188667	0.721360	0.156466	0.004899	1.173666	0.064800	0.003101	0.006977	0.011888	0.001089	0.000081	0.087936	1.261602
