layer	MEM_GB	GB_WB	MEM_WB	MEM_FB	FB_PU	RUN_PU	total_cycle	d_GB	d_FB	d_WB	d_PU	d_NET	d_CTRL	total_dyn	s_GB	s_FB	d_WB	d_PU	d_NET	d_CTRL	total_static	total_energy
2	7269	1156	0	651651	452928	5485196	6598201	0.001233	0.011356	1.291438	5.914852	1.096765	0.224132	8.539776	0.277263	0.013268	0.029852	0.053303	0.004658	0.002787	0.381131	8.920907
3	14724	2308	0	163898	113088	2554926	2848945	0.002466	0.002841	0.623937	3.026346	0.529785	0.115083	4.300458	0.119716	0.005729	0.012890	0.023015	0.002011	0.001203	0.164564	4.465022
4	29360	4612	0	327753	189504	4178444	4729674	0.004931	0.005709	1.035496	4.017478	0.879493	0.099396	6.042503	0.198746	0.009511	0.021399	0.037209	0.003339	0.000999	0.271203	6.313706
5	58713	41508	0	83463	94464	2329116	2607265	0.018707	0.002494	0.579783	2.348773	0.491502	0.058160	3.499419	0.109560	0.005243	0.011796	0.020512	0.001841	0.000551	0.149503	3.648922
6	117395	392020	0	167310	344064	4064817	5085607	0.122063	0.009352	1.018409	3.871961	0.855564	0.051779	5.929128	0.213702	0.010226	0.023009	0.039472	0.003590	0.000537	0.290536	6.219664
7	117395	392020	0	167409	344064	3620617	4641506	0.122063	0.009352	0.909625	3.438366	0.762368	0.045850	5.287624	0.195041	0.009333	0.021000	0.036026	0.003277	0.000490	0.265167	5.552791
8	234176	133748	0	43562	170880	1944814	2527181	0.065982	0.004467	0.486841	1.855646	0.409959	0.024766	2.847661	0.106195	0.005082	0.011434	0.019615	0.001784	0.000267	0.144377	2.992038
9	468551	973132	0	85593	661248	3456951	5645476	0.325269	0.017922	0.884917	3.356693	0.727434	0.022852	5.335087	0.237229	0.011352	0.025542	0.043520	0.003986	0.000298	0.321927	5.657014
10	468551	973132	0	87242	661248	2850549	5040723	0.325269	0.017922	0.732788	2.756673	0.597827	0.018723	4.449202	0.211816	0.010136	0.022806	0.038858	0.003559	0.000266	0.287441	4.736643
11	468551	142972	0	23036	163008	901920	1699488	0.097852	0.004422	0.228090	0.876879	0.190056	0.005969	1.403268	0.071414	0.003417	0.007689	0.013101	0.001200	0.000090	0.096911	1.500179
12	468551	142972	0	22825	163008	876263	1673620	0.097852	0.004422	0.220958	0.850110	0.184124	0.005795	1.363261	0.070327	0.003365	0.007572	0.012902	0.001182	0.000088	0.095436	1.458697
13	468551	142972	0	22958	163008	679519	1477009	0.097852	0.004422	0.171866	0.655961	0.142244	0.004455	1.076800	0.062065	0.002970	0.006682	0.011386	0.001043	0.000078	0.084224	1.161024
