layer	MEM_GB	GB_WB	MEM_WB	MEM_FB	FB_PU	RUN_PU	total_cycle	d_GB	d_FB	d_WB	d_PU	d_NET	d_CTRL	total_dyn	s_GB	s_FB	d_WB	d_PU	d_NET	d_CTRL	total_static	total_energy
2	7269	1156	0	653370	452928	5071804	6186528	0.001233	0.011356	1.188546	4.977454	1.009646	0.187697	7.375932	0.259964	0.012440	0.027990	0.049977	0.004368	0.002613	0.357352	7.733284
3	14724	2308	0	165396	113088	2259152	2554669	0.002466	0.002841	0.548340	2.435747	0.465964	0.092473	3.547831	0.107350	0.005137	0.011558	0.020638	0.001804	0.001079	0.147566	3.695397
4	29360	4612	0	328985	189504	3539961	4092423	0.004931	0.005709	0.872099	3.212543	0.741057	0.079492	4.915831	0.171968	0.008229	0.018516	0.032196	0.002889	0.000864	0.234662	5.150493
5	58713	41508	0	83046	94464	1931480	2209212	0.018707	0.002494	0.478144	1.860076	0.405373	0.046059	2.810853	0.092833	0.004442	0.009995	0.017380	0.001560	0.000467	0.126677	2.937530
6	117395	392020	0	167640	344064	3542120	4563240	0.122063	0.009352	0.883537	3.290319	0.741487	0.044041	5.090799	0.191752	0.009176	0.020646	0.035418	0.003222	0.000482	0.260696	5.351495
7	117395	392020	0	167863	344064	2972004	3993347	0.122063	0.009352	0.741430	2.765584	0.620245	0.036919	4.295593	0.167804	0.008030	0.018067	0.030995	0.002819	0.000422	0.228137	4.523730
8	234176	133748	0	43441	170880	1532658	2114904	0.065982	0.004467	0.380358	1.415707	0.319907	0.018914	2.205335	0.088870	0.004253	0.009569	0.016415	0.001493	0.000223	0.120823	2.326158
9	468551	973132	0	86634	661248	2638199	4827765	0.325269	0.017922	0.673127	2.534394	0.548378	0.017278	4.116368	0.202868	0.009708	0.021842	0.037216	0.003408	0.000255	0.275297	4.391665
10	468551	973132	0	86450	661248	2215957	4405339	0.325269	0.017922	0.567981	2.118303	0.458665	0.014403	3.502543	0.185117	0.008858	0.019931	0.033960	0.003110	0.000233	0.251209	3.753752
11	468551	142972	0	22875	163008	685460	1482867	0.097852	0.004422	0.172028	0.659343	0.142673	0.004496	1.080814	0.062312	0.002982	0.006709	0.011431	0.001047	0.000078	0.084559	1.165373
12	468551	142972	0	23012	163008	686269	1483813	0.097852	0.004422	0.172019	0.659687	0.142704	0.004501	1.081185	0.062351	0.002984	0.006713	0.011438	0.001048	0.000078	0.084612	1.165797
13	468551	142972	0	23041	163008	483762	1281335	0.097852	0.004422	0.120833	0.458617	0.099185	0.003123	0.784032	0.053843	0.002577	0.005797	0.009878	0.000905	0.000068	0.073068	0.857100
