layer	MEM_GB	GB_WB	MEM_WB	MEM_FB	FB_PU	RUN_PU	total_cycle	d_GB	d_FB	d_WB	d_PU	d_NET	d_CTRL	total_dyn	s_GB	s_FB	d_WB	d_PU	d_NET	d_CTRL	total_static	total_energy
2	7269	1156.000000	0.000000	651721.646000	452928.000000	4861185.248000	5974260.894000	0.001233	0.011356	1.132012	4.616876	0.961526	0.174270	6.897273	0.251044	0.012013	0.027030	0.048262	0.004218	0.002524	0.345091	7.242364
3	14724	2308.000000	0.000000	163878.820000	113088.000000	2179303.696000	2473303.516000	0.002466	0.002841	0.527033	2.276923	0.447785	0.086647	3.343696	0.103931	0.004973	0.011190	0.019980	0.001746	0.001045	0.142865	3.486561
4	29360	4612.000000	0.000000	328520.839000	189504.000000	3381188.499000	3933186.338000	0.004931	0.005709	0.831376	3.035262	0.706423	0.075144	4.658844	0.165276	0.007909	0.017795	0.030943	0.002777	0.000831	0.225531	4.884376
5	58713	41508.000000	0.000000	83551.247000	94464.000000	1757834.534000	2036071.781000	0.018707	0.002494	0.433929	1.665966	0.367758	0.041263	2.530117	0.085558	0.004094	0.009212	0.016018	0.001437	0.000430	0.116750	2.646866
6	117395	392020.000000	0.000000	167119.780000	344064.000000	3472941.239000	4493541.019000	0.122063	0.009352	0.865722	3.213633	0.726325	0.043026	4.980121	0.188823	0.009036	0.020330	0.034877	0.003172	0.000475	0.256713	5.236834
7	117395	392020.000000	0.000000	167148.435000	344064.000000	2952116.309000	3972744.744000	0.122063	0.009352	0.736799	2.745109	0.616172	0.036635	4.266131	0.166939	0.007988	0.017974	0.030835	0.002805	0.000420	0.226960	4.493091
8	234176	133748.000000	0.000000	43435.101000	170880.000000	1500642.896000	2082882.997000	0.065982	0.004467	0.372239	1.390063	0.312967	0.018574	2.164292	0.087525	0.004188	0.009424	0.016167	0.001471	0.000220	0.118994	2.283286
9	468551	973132.000000	0.000000	86390.708000	661248.000000	2635025.215000	4824347.923000	0.325269	0.017922	0.672334	2.530715	0.547642	0.017256	4.111139	0.202724	0.009701	0.021827	0.037190	0.003406	0.000255	0.275102	4.386241
10	468551	973132.000000	0.000000	86386.299000	661248.000000	2107542.264000	4296860.563000	0.325269	0.017922	0.541406	2.011811	0.435845	0.013665	3.345917	0.180558	0.008640	0.019440	0.033124	0.003034	0.000227	0.245023	3.590940
11	468551	142972.000000	0.000000	22993.518000	163008.000000	677226.435000	1474751.953000	0.097852	0.004422	0.169910	0.650953	0.140864	0.004440	1.068441	0.061971	0.002965	0.006672	0.011369	0.001041	0.000078	0.084096	1.152537
12	468551	142972.000000	0.000000	22991.475000	163008.000000	621954.792000	1419478.267000	0.097852	0.004422	0.155950	0.596094	0.128994	0.004063	0.987375	0.059648	0.002854	0.006422	0.010942	0.001002	0.000075	0.080944	1.068319
13	468551	142972.000000	0.000000	22994.810000	163008.000000	435350.860000	1232877.670000	0.097852	0.004422	0.108860	0.410931	0.088937	0.002793	0.713795	0.051807	0.002479	0.005578	0.009504	0.000870	0.000065	0.070303	0.784099
