layer	MEM_GB	GB_WB	MEM_WB	MEM_FB	FB_PU	RUN_PU	total_cycle	d_GB	d_FB	d_WB	d_PU	d_NET	d_CTRL	total_dyn	s_GB	s_FB	d_WB	d_PU	d_NET	d_CTRL	total_static	total_energy
2	7269	1156	0	653764	452928	3813376	4928494	0.001233	0.011356	0.902020	4.967082	0.758551	0.185829	6.826071	0.207100	0.009910	0.022298	0.039814	0.003480	0.002082	0.284684	7.110755
3	14724	2308	0	163564	113088	1806336	2100021	0.002466	0.002841	0.441531	2.455461	0.373202	0.092915	3.368416	0.088245	0.004223	0.009501	0.016965	0.001483	0.000887	0.121304	3.489720
4	29360	4612	0	329214	189504	3512320	4065011	0.004931	0.005709	0.873533	3.763809	0.740329	0.092915	5.481226	0.170816	0.008174	0.018391	0.031980	0.002870	0.000859	0.233090	5.714316
5	58713	41508	0	83522	94464	1756160	2034368	0.018707	0.002494	0.437868	1.881896	0.370165	0.046457	2.757587	0.085486	0.004091	0.009204	0.016005	0.001436	0.000430	0.116652	2.874239
6	117395	392020	0	167924	344064	3512320	4533724	0.122063	0.009352	0.884422	3.484076	0.740329	0.046457	5.286699	0.190512	0.009116	0.020512	0.035189	0.003201	0.000479	0.259009	5.545708
7	117395	392020	0	167924	344064	3512320	4533724	0.122063	0.009352	0.884422	3.484076	0.740329	0.046457	5.286699	0.190512	0.009116	0.020512	0.035189	0.003201	0.000479	0.259009	5.545708
8	234176	133748	0	43402	170880	1756160	2338367	0.065982	0.004467	0.440461	1.742022	0.370165	0.023229	2.646326	0.098261	0.004702	0.010580	0.018149	0.001651	0.000247	0.133590	2.779916
9	468551	973132	0	85608	661248	3512320	5700860	0.325269	0.017922	0.900756	3.414207	0.740329	0.023229	5.421712	0.239556	0.011463	0.025793	0.043947	0.004025	0.000301	0.325085	5.746797
10	468551	973132	0	85608	661248	3512320	5700860	0.325269	0.017922	0.900756	3.414207	0.740329	0.023229	5.421712	0.239556	0.011463	0.025793	0.043947	0.004025	0.000301	0.325085	5.746797
11	468551	142972	0	23121	163008	878080	1675733	0.097852	0.004422	0.222370	0.853536	0.185082	0.005807	1.369069	0.070416	0.003370	0.007582	0.012918	0.001183	0.000088	0.095557	1.464626
12	468551	142972	0	23121	163008	878080	1675733	0.097852	0.004422	0.222370	0.853536	0.185082	0.005807	1.369069	0.070416	0.003370	0.007582	0.012918	0.001183	0.000088	0.095557	1.464626
13	468551	142972	0	23121	163008	878080	1675733	0.097852	0.004422	0.222370	0.853536	0.185082	0.005807	1.369069	0.070416	0.003370	0.007582	0.012918	0.001183	0.000088	0.095557	1.464626
